Race,Female,Male,Average
Black,15.1,35.1,25.1
White,9.8,5.4,7.6
Asian,5.3,5,5.15
Hispanic,6.2,4.8,5.5
American Indian,3.3,16,9.65
Pacific Islander,4.5,14.3,9.4
